date,loessfit,loessmin,loessmax
2015-02-24,0.5022167576,0.5742017658,0.4302317495
2015-02-25,0.5033786559,0.5750465871,0.4317107246
2015-02-26,0.5045137637,0.5758570892,0.4331704382
2015-02-27,0.5056208239,0.5766310247,0.4346106231
2015-02-28,0.506698579,0.5773660916,0.4360310664
2015-03-01,0.5077457717,0.5780599466,0.4374315968
2015-03-02,0.5087611446,0.5787102201,0.438812069
2015-03-03,0.5097434403,0.5793145323,0.4401723482
2015-03-04,0.5106914015,0.5798705115,0.4415122914
2015-03-05,0.5116037708,0.5803758135,0.4428317281
2015-03-06,0.5124792908,0.5808281434,0.4441304383
2015-03-07,0.5133167043,0.5812252793,0.4454081292
2015-03-08,0.5141147537,0.5815650987,0.4466644087
2015-03-09,0.5148721818,0.5818456065,0.447898757
2015-03-10,0.5155877311,0.5820649675,0.4491104948
2015-03-11,0.5162601444,0.5822215408,0.450298748
2015-03-12,0.5168881643,0.5823139189,0.4514624097
2015-03-13,0.5174705333,0.5823409705,0.4526000961
2015-03-14,0.5180059942,0.5823018886,0.4537100997
2015-03-15,0.5184932895,0.5821962436,0.4547903354
2015-03-16,0.5189531295,0.5820633924,0.4558428667
2015-03-17,0.5194048582,0.5819398996,0.4568698169
2015-03-18,0.5198451685,0.5818215992,0.4578687377
2015-03-19,0.5202707533,0.5817044724,0.4588370342
2015-03-20,0.5206783056,0.581584626,0.4597719851
2015-03-21,0.5210645183,0.5814582936,0.4606707431
2015-03-22,0.5214260846,0.5813218603,0.4615303088
2015-03-23,0.5217596972,0.5811719128,0.4623474816
2015-03-24,0.5220620492,0.5810053164,0.4631187819
2015-03-25,0.5223298335,0.5808193199,0.4638403471
2015-03-26,0.5225597431,0.5806116885,0.4645077978
2015-03-27,0.522748471,0.5803808676,0.4651160745
2015-03-28,0.5229036087,0.5801473585,0.4656598589
2015-03-29,0.5230348631,0.579935225,0.4661345012
2015-03-30,0.5231421005,0.5797489793,0.4665352216
2015-03-31,0.523225187,0.5795932413,0.4668571327
2015-04-01,0.5232839889,0.5794727003,0.4670952776
2015-04-02,0.5233183724,0.5793920705,0.4672446744
2015-04-03,0.5233282038,0.5793560414,0.4673003662
2015-04-04,0.5233133491,0.579369224,0.4672574743
2015-04-05,0.5232736747,0.5794360933,0.4671112562
2015-04-06,0.5232090468,0.579560931,0.4668571626
2015-04-07,0.5231193315,0.5797477679,0.4664908952
2015-04-08,0.5230043951,0.5800003306,0.4660084597
2015-04-09,0.5228641038,0.5803219934,0.4654062142
2015-04-10,0.5226983238,0.5807157382,0.4646809094
2015-04-11,0.5225069213,0.5811841228,0.4638297198
2015-04-12,0.5222897625,0.581729262,0.462850263
2015-04-13,0.5220467137,0.5823528179,0.4617406096
2015-04-14,0.5217776411,0.5830560028,0.4604992793
2015-04-15,0.5214824108,0.5838395933,0.4591252283
2015-04-16,0.5211608891,0.5847039524,0.4576178258
2015-04-17,0.5208129422,0.5856490617,0.4559768227
2015-04-18,0.5204384363,0.5866745579,0.4542023146
2015-04-19,0.5200372376,0.5877797749,0.4522947004
2015-04-20,0.5196092124,0.588963787,0.4502546378
2015-04-21,0.5191542268,0.5902254538,0.4480829998
2015-04-22,0.5186721471,0.5915634632,0.4457808309
2015-04-23,0.5181628395,0.5929763727,0.4433493062
2015-04-24,0.517618341,0.5944603118,0.4407763702
2015-04-25,0.5170371492,0.5960151804,0.4380591181
2015-04-26,0.516428821,0.5976426699,0.4352149721
